blacklist_id,type,value,reason,created_at
70,MERCHANT,Merchant_1493840047_3659,Suspicious transactions detected for merchant Merchant_1493840047_3659,2024-03-10 00:34:25.717
71,USER,bberisha5301@icloud.com,Suspicious activity detected for user bberisha5301@icloud.com,2025-10-03 14:22:25.720
72,MERCHANT,Merchant_1924525176_3573,Suspicious transactions detected for merchant Merchant_1924525176_3573,2025-02-11 15:33:25.723
73,USER,uwilliams2865@outlook.com,Suspicious activity detected for user uwilliams2865@outlook.com,2025-12-05 05:31:25.730
74,MERCHANT,Merchant_886196266_891,Suspicious transactions detected for merchant Merchant_886196266_891,2025-09-21 06:25:25.730
75,MERCHANT,Merchant_1710649807_1606,Suspicious transactions detected for merchant Merchant_1710649807_1606,2025-05-20 23:49:25.733
76,IP,80.175.113.221,IP address flagged for suspicious activity: 80.175.113.221,2024-07-21 04:25:25.740
77,MERCHANT,Merchant_273121572_1303,Suspicious transactions detected for merchant Merchant_273121572_1303,2024-12-06 19:10:25.743
78,USER,hekuran.brown460@outlook.com,Suspicious activity detected for user hekuran.brown460@outlook.com,2024-08-17 03:04:25.747
79,USER,hhoti9133@aol.com,Suspicious activity detected for user hhoti9133@aol.com,2024-04-16 15:41:25.753
80,IP,60.77.122.94,IP address flagged for suspicious activity: 60.77.122.94,2024-07-20 00:42:25.757
81,USER,ojones7149@yahoo.com,Suspicious activity detected for user ojones7149@yahoo.com,2024-09-13 17:38:25.760
82,MERCHANT,Merchant_85744966_4113,Suspicious transactions detected for merchant Merchant_85744966_4113,2024-08-08 17:36:25.763
83,USER,era.smith3356@yahoo.com,Suspicious activity detected for user era.smith3356@yahoo.com,2025-12-05 05:35:25.770
84,IP,39.75.215.55,IP address flagged for suspicious activity: 39.75.215.55,2024-02-20 15:08:25.773
85,USER,rina_shala2026@yahoo.com,Suspicious activity detected for user rina_shala2026@yahoo.com,2024-06-04 12:38:25.777
86,USER,adriatik75@outlook.com,Suspicious activity detected for user adriatik75@outlook.com,2024-12-24 16:19:25.780
87,USER,ibrahim_basha2026@outlook.com,Suspicious activity detected for user ibrahim_basha2026@outlook.com,2025-07-31 08:11:25.787
88,USER,pmaloku1293@protonmail.com,Suspicious activity detected for user pmaloku1293@protonmail.com,2024-10-15 23:32:25.790
89,MERCHANT,Merchant_1543479198_2089,Suspicious transactions detected for merchant Merchant_1543479198_2089,2024-07-27 13:36:25.793
90,USER,blerim515@outlook.com,Suspicious activity detected for user blerim515@outlook.com,2025-03-13 09:39:25.797
91,MERCHANT,Merchant_1262659119_1131,Suspicious transactions detected for merchant Merchant_1262659119_1131,2025-04-25 06:51:25.800
92,IP,190.188.114.23,IP address flagged for suspicious activity: 190.188.114.23,2025-08-26 10:17:25.807
93,MERCHANT,Merchant_1532988388_932,Suspicious transactions detected for merchant Merchant_1532988388_932,2026-02-04 15:29:25.810
94,USER,valmir623@gmail.com,Suspicious activity detected for user valmir623@gmail.com,2025-10-09 16:10:25.813
95,MERCHANT,Merchant_1975030401_2842,Suspicious transactions detected for merchant Merchant_1975030401_2842,2026-01-19 04:35:25.817
96,MERCHANT,Merchant_306363146_4806,Suspicious transactions detected for merchant Merchant_306363146_4806,2024-03-13 12:26:25.817
97,IP,60.213.15.95,IP address flagged for suspicious activity: 60.213.15.95,2026-01-07 06:47:25.823
98,IP,165.10.66.182,IP address flagged for suspicious activity: 165.10.66.182,2025-11-11 11:55:25.827
99,MERCHANT,Merchant_1032357626_3263,Suspicious transactions detected for merchant Merchant_1032357626_3263,2024-12-03 20:10:25.830
100,MERCHANT,Merchant_328182887_3422,Suspicious transactions detected for merchant Merchant_328182887_3422,2025-06-14 11:26:25.833
101,USER,teuta.gjoka2944@protonmail.com,Suspicious activity detected for user teuta.gjoka2944@protonmail.com,2025-11-28 19:11:25.837
102,IP,151.27.9.220,IP address flagged for suspicious activity: 151.27.9.220,2025-12-04 01:53:25.840
103,MERCHANT,Merchant_1183585971_2678,Suspicious transactions detected for merchant Merchant_1183585971_2678,2025-12-03 01:39:25.843
104,USER,ethaçi2825@live.com,Suspicious activity detected for user ethaçi2825@live.com,2025-07-15 19:17:25.850
105,IP,237.12.69.120,IP address flagged for suspicious activity: 237.12.69.120,2024-03-27 02:40:25.853
106,IP,181.68.135.98,IP address flagged for suspicious activity: 181.68.135.98,2024-08-19 08:59:25.860
107,IP,210.57.109.66,IP address flagged for suspicious activity: 210.57.109.66,2024-06-16 21:07:25.863
108,USER,nbrown1573@yahoo.com,Suspicious activity detected for user nbrown1573@yahoo.com,2024-02-24 07:41:25.867
109,USER,liridona.kamberi4272@live.com,Suspicious activity detected for user liridona.kamberi4272@live.com,2025-03-02 14:59:25.873
110,MERCHANT,Merchant_1260223223_4831,Suspicious transactions detected for merchant Merchant_1260223223_4831,2025-12-01 20:41:25.877
111,MERCHANT,Merchant_2071268435_4774,Suspicious transactions detected for merchant Merchant_2071268435_4774,2024-10-06 14:10:25.877
112,MERCHANT,Merchant_296269853_4815,Suspicious transactions detected for merchant Merchant_296269853_4815,2024-05-06 15:22:25.880
113,MERCHANT,Merchant_1007975071_4360,Suspicious transactions detected for merchant Merchant_1007975071_4360,2025-11-18 00:26:25.883
114,IP,167.57.160.137,IP address flagged for suspicious activity: 167.57.160.137,2024-11-07 16:45:25.887
115,MERCHANT,Merchant_498639013_1422,Suspicious transactions detected for merchant Merchant_498639013_1422,2024-06-20 05:41:25.890
116,USER,blerina_hyseni2026@aol.com,Suspicious activity detected for user blerina_hyseni2026@aol.com,2024-10-30 21:09:25.893
117,MERCHANT,Merchant_197778776_266,Suspicious transactions detected for merchant Merchant_197778776_266,2025-01-03 08:19:25.897
118,IP,33.22.231.84,IP address flagged for suspicious activity: 33.22.231.84,2024-07-21 17:00:25.900
119,MERCHANT,Merchant_115545910_4562,Suspicious transactions detected for merchant Merchant_115545910_4562,2025-08-15 04:08:25.903
120,IP,233.244.156.64,IP address flagged for suspicious activity: 233.244.156.64,2025-03-27 14:24:25.910
121,USER,granit.hernandez8464@hotmail.com,Suspicious activity detected for user granit.hernandez8464@hotmail.com,2025-12-20 09:15:25.913
122,IP,144.33.7.198,IP address flagged for suspicious activity: 144.33.7.198,2024-06-05 21:02:25.920
123,USER,zkamberi4457@yahoo.com,Suspicious activity detected for user zkamberi4457@yahoo.com,2024-04-15 23:52:25.923
124,MERCHANT,Merchant_146783828_3420,Suspicious transactions detected for merchant Merchant_146783828_3420,2024-09-06 02:34:25.927
125,IP,57.53.202.7,IP address flagged for suspicious activity: 57.53.202.7,2024-08-10 21:55:25.930
126,MERCHANT,Merchant_645830046_716,Suspicious transactions detected for merchant Merchant_645830046_716,2024-05-04 15:08:25.933
127,USER,ilir.mustafa8196@yahoo.com,Suspicious activity detected for user ilir.mustafa8196@yahoo.com,2024-03-05 22:32:25.940
128,USER,urim535@aol.com,Suspicious activity detected for user urim535@aol.com,2025-01-01 15:35:25.943
129,IP,166.247.51.113,IP address flagged for suspicious activity: 166.247.51.113,2025-10-12 07:41:25.947
130,MERCHANT,Merchant_1043896598_4902,Suspicious transactions detected for merchant Merchant_1043896598_4902,2024-03-15 02:20:25.950
131,IP,225.164.21.201,IP address flagged for suspicious activity: 225.164.21.201,2025-03-20 18:20:25.957
132,USER,rhyseni5905@gmail.com,Suspicious activity detected for user rhyseni5905@gmail.com,2025-09-09 17:29:25.960
133,MERCHANT,Merchant_1798755572_796,Suspicious transactions detected for merchant Merchant_1798755572_796,2024-10-05 09:35:25.963
134,IP,188.81.216.81,IP address flagged for suspicious activity: 188.81.216.81,2024-11-17 19:40:25.970
135,MERCHANT,Merchant_1212183424_1545,Suspicious transactions detected for merchant Merchant_1212183424_1545,2025-03-29 01:03:25.970
136,MERCHANT,Merchant_1235308029_724,Suspicious transactions detected for merchant Merchant_1235308029_724,2025-01-02 07:22:25.973
137,USER,uran519@icloud.com,Suspicious activity detected for user uran519@icloud.com,2024-04-02 01:14:25.980
138,MERCHANT,Merchant_1497538303_2133,Suspicious transactions detected for merchant Merchant_1497538303_2133,2025-02-26 20:50:25.983
139,MERCHANT,Merchant_1105881105_1968,Suspicious transactions detected for merchant Merchant_1105881105_1968,2025-06-02 07:53:25.983
140,IP,29.68.132.217,IP address flagged for suspicious activity: 29.68.132.217,2024-07-21 06:27:25.990
141,MERCHANT,Merchant_1075699822_4968,Suspicious transactions detected for merchant Merchant_1075699822_4968,2025-01-04 05:27:25.993
142,USER,jon.thaçi288@icloud.com,Suspicious activity detected for user jon.thaçi288@icloud.com,2024-11-27 14:05:25.997
143,IP,124.174.79.157,IP address flagged for suspicious activity: 124.174.79.157,2025-08-08 05:22:26.003
144,MERCHANT,Merchant_1265224609_1183,Suspicious transactions detected for merchant Merchant_1265224609_1183,2024-12-22 06:29:26.007
145,USER,donika.rrahmani1848@yahoo.com,Suspicious activity detected for user donika.rrahmani1848@yahoo.com,2024-06-25 15:31:26.010
146,MERCHANT,Merchant_1319323202_3251,Suspicious transactions detected for merchant Merchant_1319323202_3251,2025-11-16 03:23:26.013
147,IP,162.200.58.81,IP address flagged for suspicious activity: 162.200.58.81,2025-06-13 09:36:26.017
148,MERCHANT,Merchant_1446938966_633,Suspicious transactions detected for merchant Merchant_1446938966_633,2024-08-23 18:25:26.020
149,IP,194.46.34.127,IP address flagged for suspicious activity: 194.46.34.127,2025-09-03 14:51:26.027
150,MERCHANT,Merchant_1075043243_4337,Suspicious transactions detected for merchant Merchant_1075043243_4337,2024-05-13 18:16:26.027
151,IP,183.231.73.20,IP address flagged for suspicious activity: 183.231.73.20,2025-11-27 05:46:26.033
152,IP,133.108.104.76,IP address flagged for suspicious activity: 133.108.104.76,2025-01-08 12:42:26.040
153,MERCHANT,Merchant_1599234733_2939,Suspicious transactions detected for merchant Merchant_1599234733_2939,2024-09-27 10:09:26.040
154,IP,136.11.235.173,IP address flagged for suspicious activity: 136.11.235.173,2026-01-18 04:47:26.047
155,IP,238.188.203.114,IP address flagged for suspicious activity: 238.188.203.114,2024-06-29 17:57:26.050
156,IP,96.58.67.144,IP address flagged for suspicious activity: 96.58.67.144,2024-02-26 03:47:26.057
157,IP,10.179.7.83,IP address flagged for suspicious activity: 10.179.7.83,2024-07-02 12:05:26.060
158,USER,ismith1061@protonmail.com,Suspicious activity detected for user ismith1061@protonmail.com,2024-05-18 10:44:26.067
159,IP,76.136.117.170,IP address flagged for suspicious activity: 76.136.117.170,2026-01-15 00:10:26.070
160,USER,zhoxha1805@gmail.com,Suspicious activity detected for user zhoxha1805@gmail.com,2025-01-21 14:21:26.077
161,USER,donika.garcia5612@aol.com,Suspicious activity detected for user donika.garcia5612@aol.com,2025-11-28 13:27:26.080
162,MERCHANT,Merchant_290205182_4210,Suspicious transactions detected for merchant Merchant_290205182_4210,2024-11-28 22:35:26.080
163,MERCHANT,Merchant_799339691_2613,Suspicious transactions detected for merchant Merchant_799339691_2613,2025-01-26 17:52:26.083
164,MERCHANT,Merchant_1868410823_3716,Suspicious transactions detected for merchant Merchant_1868410823_3716,2024-04-30 19:29:26.087
165,MERCHANT,Merchant_1059520631_143,Suspicious transactions detected for merchant Merchant_1059520631_143,2024-10-13 20:04:26.090
166,USER,indrit.maloku6124@gmail.com,Suspicious activity detected for user indrit.maloku6124@gmail.com,2026-02-05 18:03:26.093
167,MERCHANT,Merchant_244170636_3725,Suspicious transactions detected for merchant Merchant_244170636_3725,2025-03-03 09:30:26.097
168,IP,200.26.225.139,IP address flagged for suspicious activity: 200.26.225.139,2024-04-11 00:16:26.100
169,IP,146.176.154.180,IP address flagged for suspicious activity: 146.176.154.180,2025-09-02 11:45:26.107
170,MERCHANT,Merchant_391613479_1723,Suspicious transactions detected for merchant Merchant_391613479_1723,2024-04-10 22:33:26.110
171,USER,dmehmeti7589@yahoo.com,Suspicious activity detected for user dmehmeti7589@yahoo.com,2024-10-23 21:25:26.113
172,IP,31.245.70.98,IP address flagged for suspicious activity: 31.245.70.98,2024-03-11 17:48:26.120
173,USER,pkryeziu4325@protonmail.com,Suspicious activity detected for user pkryeziu4325@protonmail.com,2025-06-04 22:43:26.123
174,USER,ylber123@outlook.com,Suspicious activity detected for user ylber123@outlook.com,2025-04-22 15:59:26.130
175,MERCHANT,Merchant_2020598841_215,Suspicious transactions detected for merchant Merchant_2020598841_215,2024-11-20 17:58:26.130
176,MERCHANT,Merchant_957476851_2850,Suspicious transactions detected for merchant Merchant_957476851_2850,2025-11-22 17:45:26.133
177,MERCHANT,Merchant_811958820_2351,Suspicious transactions detected for merchant Merchant_811958820_2351,2024-12-21 03:24:26.137
178,USER,urim431@gmail.com,Suspicious activity detected for user urim431@gmail.com,2024-06-07 15:11:26.143
179,MERCHANT,Merchant_528693493_1228,Suspicious transactions detected for merchant Merchant_528693493_1228,2025-05-23 10:14:26.143
180,USER,qkrasniqi6245@protonmail.com,Suspicious activity detected for user qkrasniqi6245@protonmail.com,2025-05-02 02:27:26.150
181,MERCHANT,Merchant_182839367_1546,Suspicious transactions detected for merchant Merchant_182839367_1546,2024-06-23 12:11:26.153
182,IP,67.50.211.209,IP address flagged for suspicious activity: 67.50.211.209,2024-07-26 07:19:26.160
183,MERCHANT,Merchant_1598182721_3395,Suspicious transactions detected for merchant Merchant_1598182721_3395,2024-10-30 14:37:26.163
184,MERCHANT,Merchant_1960300927_3415,Suspicious transactions detected for merchant Merchant_1960300927_3415,2024-04-20 03:40:26.167
185,USER,urim.pajaziti1528@aol.com,Suspicious activity detected for user urim.pajaziti1528@aol.com,2025-03-14 10:08:26.170
186,MERCHANT,Merchant_1123517285_1338,Suspicious transactions detected for merchant Merchant_1123517285_1338,2024-03-29 23:44:26.173
187,USER,mdedaj5045@aol.com,Suspicious activity detected for user mdedaj5045@aol.com,2025-08-29 04:07:26.180
188,IP,135.186.75.246,IP address flagged for suspicious activity: 135.186.75.246,2024-06-22 03:59:26.183
189,IP,216.84.239.116,IP address flagged for suspicious activity: 216.84.239.116,2024-06-22 10:04:26.190
190,IP,116.17.41.111,IP address flagged for suspicious activity: 116.17.41.111,2024-10-14 14:03:26.193
191,MERCHANT,Merchant_1129613732_712,Suspicious transactions detected for merchant Merchant_1129613732_712,2025-05-07 09:58:26.197
192,IP,14.12.7.104,IP address flagged for suspicious activity: 14.12.7.104,2025-11-26 00:35:26.203
193,IP,108.97.159.138,IP address flagged for suspicious activity: 108.97.159.138,2025-12-05 17:36:26.210
194,USER,urim_smith2026@icloud.com,Suspicious activity detected for user urim_smith2026@icloud.com,2025-10-27 17:50:26.213
195,MERCHANT,Merchant_1393928518_3154,Suspicious transactions detected for merchant Merchant_1393928518_3154,2025-09-24 00:22:26.217
196,IP,15.35.52.10,IP address flagged for suspicious activity: 15.35.52.10,2024-06-06 08:49:26.223
197,MERCHANT,Merchant_1445086462_2731,Suspicious transactions detected for merchant Merchant_1445086462_2731,2025-10-12 16:37:26.227
198,IP,184.232.201.154,IP address flagged for suspicious activity: 184.232.201.154,2025-07-16 05:22:26.230
199,USER,ibrahim.taylor444@hotmail.com,Suspicious activity detected for user ibrahim.taylor444@hotmail.com,2025-05-03 04:13:26.233
200,USER,trim51@outlook.com,Suspicious activity detected for user trim51@outlook.com,2024-09-07 13:17:26.240
201,IP,100.6.61.185,IP address flagged for suspicious activity: 100.6.61.185,2025-11-22 09:16:26.243
202,USER,srodriguez7085@live.com,Suspicious activity detected for user srodriguez7085@live.com,2025-05-13 16:53:26.250
203,IP,177.144.82.46,IP address flagged for suspicious activity: 177.144.82.46,2025-03-30 12:54:26.253
204,IP,36.171.3.71,IP address flagged for suspicious activity: 36.171.3.71,2024-07-09 02:03:26.260
205,IP,161.243.181.230,IP address flagged for suspicious activity: 161.243.181.230,2025-01-07 04:13:26.263
206,IP,154.239.199.65,IP address flagged for suspicious activity: 154.239.199.65,2025-03-31 08:21:26.270
207,IP,236.25.1.57,IP address flagged for suspicious activity: 236.25.1.57,2025-05-13 03:17:26.273
208,IP,11.43.201.228,IP address flagged for suspicious activity: 11.43.201.228,2025-12-12 12:35:26.280
209,USER,imiller6693@aol.com,Suspicious activity detected for user imiller6693@aol.com,2024-05-05 13:26:26.283
210,USER,olsi203@aol.com,Suspicious activity detected for user olsi203@aol.com,2025-06-19 23:17:26.290
211,USER,nderim147@aol.com,Suspicious activity detected for user nderim147@aol.com,2024-09-05 11:32:26.293
212,USER,vkastrati2261@icloud.com,Suspicious activity detected for user vkastrati2261@icloud.com,2025-08-08 04:36:26.297
213,USER,ylber_moore2026@outlook.com,Suspicious activity detected for user ylber_moore2026@outlook.com,2024-03-02 09:13:26.300
214,MERCHANT,Merchant_2018571395_4947,Suspicious transactions detected for merchant Merchant_2018571395_4947,2024-02-13 15:39:26.303
215,MERCHANT,Merchant_1153113751_4975,Suspicious transactions detected for merchant Merchant_1153113751_4975,2025-03-06 15:55:26.307
216,MERCHANT,Merchant_290205182_4210,Suspicious transactions detected for merchant Merchant_290205182_4210,2024-09-22 21:17:26.310
217,IP,138.158.164.225,IP address flagged for suspicious activity: 138.158.164.225,2025-01-21 15:49:26.313
218,IP,49.9.37.35,IP address flagged for suspicious activity: 49.9.37.35,2025-05-29 18:28:26.320
219,USER,phoxha5353@aol.com,Suspicious activity detected for user phoxha5353@aol.com,2024-07-30 17:24:26.323
220,IP,82.233.102.64,IP address flagged for suspicious activity: 82.233.102.64,2024-12-31 12:23:26.330
221,MERCHANT,Merchant_1699109654_1002,Suspicious transactions detected for merchant Merchant_1699109654_1002,2025-10-05 12:17:26.330
222,MERCHANT,Merchant_1735332515_2961,Suspicious transactions detected for merchant Merchant_1735332515_2961,2024-05-27 23:22:26.333
223,IP,119.98.29.151,IP address flagged for suspicious activity: 119.98.29.151,2024-04-13 11:46:26.340
224,IP,46.153.96.33,IP address flagged for suspicious activity: 46.153.96.33,2025-06-29 08:04:26.343
225,IP,55.88.70.63,IP address flagged for suspicious activity: 55.88.70.63,2025-10-15 17:46:26.350
226,MERCHANT,Merchant_1255090225_3321,Suspicious transactions detected for merchant Merchant_1255090225_3321,2025-04-12 11:20:26.350
227,IP,166.150.146.224,IP address flagged for suspicious activity: 166.150.146.224,2024-07-22 04:02:26.357
228,MERCHANT,Merchant_576266774_593,Suspicious transactions detected for merchant Merchant_576266774_593,2024-11-25 14:10:26.360
229,MERCHANT,Merchant_63960052_2442,Suspicious transactions detected for merchant Merchant_63960052_2442,2024-05-27 06:46:26.363
230,IP,9.11.132.90,IP address flagged for suspicious activity: 9.11.132.90,2024-10-03 14:38:26.367
231,USER,ukryeziu8045@yahoo.com,Suspicious activity detected for user ukryeziu8045@yahoo.com,2025-05-11 08:42:26.373
232,USER,vshala7121@outlook.com,Suspicious activity detected for user vshala7121@outlook.com,2025-11-16 12:20:26.377
233,MERCHANT,Merchant_1613076112_1204,Suspicious transactions detected for merchant Merchant_1613076112_1204,2025-01-28 18:13:26.380
234,IP,142.216.26.72,IP address flagged for suspicious activity: 142.216.26.72,2024-08-18 04:08:26.383
235,MERCHANT,Merchant_1112473687_4779,Suspicious transactions detected for merchant Merchant_1112473687_4779,2025-08-08 21:14:26.387
236,IP,153.238.208.203,IP address flagged for suspicious activity: 153.238.208.203,2025-01-23 19:15:26.393
237,USER,shprese367@live.com,Suspicious activity detected for user shprese367@live.com,2025-02-15 06:42:26.397
238,MERCHANT,Merchant_759535669_2016,Suspicious transactions detected for merchant Merchant_759535669_2016,2025-11-03 13:11:26.400
239,IP,0.41.134.207,IP address flagged for suspicious activity: 0.41.134.207,2025-02-23 14:52:26.403
240,USER,zbeka4237@hotmail.com,Suspicious activity detected for user zbeka4237@hotmail.com,2025-04-16 13:45:26.410
241,IP,245.126.110.179,IP address flagged for suspicious activity: 245.126.110.179,2025-01-08 05:54:26.413
242,IP,155.135.150.52,IP address flagged for suspicious activity: 155.135.150.52,2024-12-03 09:15:26.420
