account_id,user_id,iban,balance,currency,account_type,status,created_at
802,601,AL00108014422618960016802,44517.86,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:43.187
810,2611,AL05500761662598020096810,74492.63,EUR,BUSINESS,ACTIVE,2026-02-08 18:47:43.227
814,7147,AL06006041146605240320814,15356.53,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:43.247
842,8302,AL08819977900133139456842,48627.10,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:43.410
855,6290,AL09068396981245810688855,17617.57,EUR,STANDARD,ACTIVE,2026-02-08 18:47:43.507
871,2620,AL06685692859502410752871,83847.71,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:43.670
872,6933,AL02609558660883720192872,32257.95,USD,BUSINESS,ACTIVE,2026-02-08 18:47:43.677
880,3376,AL05909766045359280128880,20981.40,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:43.727
899,9182,AL04113362608834310144899,99091.60,EUR,SAVINGS,FROZEN,2026-02-08 18:47:43.820
904,207,AL05809271307677240320904,45312.58,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:43.843
912,5872,AL01666923424959909888912,14536.77,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:43.880
926,7483,AL02454975453995350016926,58506.22,USD,STANDARD,ACTIVE,2026-02-08 18:47:43.943
928,5431,AL02304307387618990336928,66398.59,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:43.953
929,246,AL09038091697275680768929,54227.40,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:43.960
947,4021,AL01882407353344570112947,39876.03,GBP,STANDARD,FROZEN,2026-02-08 18:47:44.043
981,3465,AL05976049392388400128981,77272.28,USD,BUSINESS,ACTIVE,2026-02-08 18:47:44.230
1000,3938,AL078726691011380111361000,47473.28,USD,SAVINGS,FROZEN,2026-02-08 18:47:44.323
1003,1105,AL067227071120861593601003,75202.88,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:44.350
1016,1979,AL021756989077430100481016,47617.28,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:44.427
1023,4147,AL051204317713681602561023,49744.20,CHF,STANDARD,ACTIVE,2026-02-08 18:47:44.457
1026,3162,AL024541192891291699201026,39766.23,USD,SAVINGS,ACTIVE,2026-02-08 18:47:44.470
1049,8615,AL079933519325557299201049,58674.76,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:44.580
1076,3907,AL062621518813729208321076,81437.52,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:44.697
1091,9243,AL059591631166665000961091,62932.63,EUR,BUSINESS,ACTIVE,2026-02-08 18:47:44.777
1113,1803,AL044336624720666204161113,91721.63,CHF,STANDARD,ACTIVE,2026-02-08 18:47:44.900
1124,5155,AL047176052705078702081124,95403.41,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:44.963
1130,9242,AL020183010111267901441130,27248.56,USD,STANDARD,ACTIVE,2026-02-08 18:47:44.993
1136,6751,AL066091732992105605121136,27867.81,USD,STANDARD,ACTIVE,2026-02-08 18:47:45.030
1170,4435,AL086911858100065699841170,14069.86,USD,SAVINGS,FROZEN,2026-02-08 18:47:45.207
1180,6532,AL036607231079936399361180,5418.00,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:45.247
1191,5569,AL034121225586723599361191,31437.96,EUR,STANDARD,ACTIVE,2026-02-08 18:47:45.303
1192,2912,AL000740245936125800161192,15217.21,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:45.310
1210,2197,AL082762713005918402561210,45123.48,EUR,STANDARD,FROZEN,2026-02-08 18:47:45.400
1213,3843,AL040636341263798799361213,15701.18,CHF,STANDARD,ACTIVE,2026-02-08 18:47:45.413
1214,9928,AL027716475363038801921214,22322.54,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:45.420
1231,5153,AL008734480250278900481231,11136.81,EUR,STANDARD,ACTIVE,2026-02-08 18:47:45.510
1237,5390,AL038374386376774502401237,67619.60,GBP,STANDARD,ACTIVE,2026-02-08 18:47:45.550
1238,207,AL020564593003923801601238,61216.60,CHF,STANDARD,ACTIVE,2026-02-08 18:47:45.557
1250,3693,AL031075306152423004161250,36129.54,GBP,STANDARD,ACTIVE,2026-02-08 18:47:45.620
1282,4199,AL025925608127143403521282,25288.97,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:45.800
1316,9019,AL085190479637324113921316,1666.08,CHF,STANDARD,ACTIVE,2026-02-08 18:47:45.963
1318,658,AL034811642504120304641318,53364.26,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:45.970
1319,8183,AL087462462074782597121319,8355.94,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:45.973
1329,9086,AL054838342224172001281329,72472.02,USD,SAVINGS,ACTIVE,2026-02-08 18:47:46.020
1333,1743,AL005433459448644499841333,96169.46,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:46.033
1334,1801,AL006598063458782900481334,29087.73,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:46.040
1359,1065,AL086969026872205414401359,31572.99,GBP,STANDARD,ACTIVE,2026-02-08 18:47:46.170
1360,353,AL058822402471227207681360,41779.14,EUR,STANDARD,ACTIVE,2026-02-08 18:47:46.177
1385,6331,AL064789737943708712961385,82831.31,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:46.303
1389,8701,AL071758124139252203521389,45823.55,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:46.323
1390,8256,AL067035518085477498881390,74225.81,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:46.330
1393,7068,AL037223598537407104001393,16944.14,EUR,STANDARD,ACTIVE,2026-02-08 18:47:46.350
1398,7091,AL017499649442873000961398,52574.16,GBP,STANDARD,ACTIVE,2026-02-08 18:47:46.377
1404,3398,AL075995479453458493441404,88910.42,USD,STANDARD,ACTIVE,2026-02-08 18:47:46.410
1406,4840,AL044471081161412101121406,82056.77,GBP,STANDARD,ACTIVE,2026-02-08 18:47:46.420
1409,1045,AL090291173795698206721409,85869.99,EUR,STANDARD,ACTIVE,2026-02-08 18:47:46.430
1412,2011,AL030965799844131102721412,15443.67,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:46.447
1414,2403,AL050088708257222707201414,18851.23,EUR,BUSINESS,FROZEN,2026-02-08 18:47:46.457
1418,9875,AL015195625782684101121418,86949.49,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:46.477
1424,2926,AL048959013012100106241424,80095.30,EUR,STANDARD,ACTIVE,2026-02-08 18:47:46.513
1434,1132,AL015325535972158100481434,52607.63,EUR,BUSINESS,ACTIVE,2026-02-08 18:47:46.563
1442,4082,AL009401501412641000961442,41982.52,EUR,STANDARD,ACTIVE,2026-02-08 18:47:46.603
1484,7985,AL082470953849725992961484,46784.10,USD,BUSINESS,ACTIVE,2026-02-08 18:47:46.823
1514,1281,AL065656001140840499201514,1403.00,USD,BUSINESS,ACTIVE,2026-02-08 18:47:46.990
1518,3007,AL041223213734527503361518,27712.12,EUR,STANDARD,ACTIVE,2026-02-08 18:47:47.017
1523,1715,AL084834604508057303041523,27380.31,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:47.037
1524,8372,AL021881674547118100481524,72646.07,EUR,BUSINESS,ACTIVE,2026-02-08 18:47:47.040
1529,1795,AL010339612423072399361529,6450.66,CHF,STANDARD,ACTIVE,2026-02-08 18:47:47.063
1544,8814,AL0911791624207814963213,2625.65,EUR,STANDARD,ACTIVE,2026-02-08 18:47:58.617
1546,39,AL0663273827556158054415,62561.05,GBP,BUSINESS,FROZEN,2026-02-08 18:47:58.630
1555,8711,AL0312889175635881011224,10857.54,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:58.670
1556,8005,AL0792399969129509068825,86356.02,GBP,STANDARD,ACTIVE,2026-02-08 18:47:58.677
1565,4626,AL0313032403738535014434,91589.06,CHF,STANDARD,ACTIVE,2026-02-08 18:47:58.723
1582,7082,AL0155615736315312000051,55066.03,EUR,STANDARD,ACTIVE,2026-02-08 18:47:58.803
1583,1630,AL0760315737921441075252,89304.11,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:58.810
1598,9468,AL0711132209573175091267,42523.24,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:58.890
1600,557,AL0845469850808219136069,10897.07,USD,BUSINESS,FROZEN,2026-02-08 18:47:58.900
1606,5282,AL0785489364516376064075,47975.57,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:58.933
1619,4339,AL0108032858149827008088,34182.29,USD,STANDARD,ACTIVE,2026-02-08 18:47:59.023
1633,2094,AL08507391995732111360102,71535.91,USD,SAVINGS,ACTIVE,2026-02-08 18:47:59.110
1645,7224,AL05815441273336110080114,86229.15,EUR,STANDARD,ACTIVE,2026-02-08 18:47:59.173
1658,375,AL05677702339520379904127,36628.63,EUR,SAVINGS,ACTIVE,2026-02-08 18:47:59.243
1672,1845,AL08907811493332700160141,1498.25,USD,SAVINGS,ACTIVE,2026-02-08 18:47:59.313
1681,5587,AL06382862931865419776150,15789.40,EUR,BUSINESS,FROZEN,2026-02-08 18:47:59.360
1683,4314,AL08864829651491059712152,9833.80,CHF,BUSINESS,ACTIVE,2026-02-08 18:47:59.370
1699,6654,AL07343209921297640448168,90382.22,EUR,STANDARD,ACTIVE,2026-02-08 18:47:59.443
1708,2685,AL07295710978581480448177,44643.66,GBP,SAVINGS,ACTIVE,2026-02-08 18:47:59.487
1713,8113,AL04353796017747150336182,85685.30,GBP,BUSINESS,FROZEN,2026-02-08 18:47:59.513
1719,2449,AL03864286200230560256188,2150.63,GBP,BUSINESS,ACTIVE,2026-02-08 18:47:59.540
1732,1808,AL07433380016636080128201,13082.93,CHF,STANDARD,ACTIVE,2026-02-08 18:47:59.607
1744,9605,AL08647408898061310976213,833.56,EUR,BUSINESS,ACTIVE,2026-02-08 18:47:59.733
1746,2501,AL04765360746034200576215,52583.05,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:59.747
1754,1376,AL07697946834648850432223,25113.86,CHF,STANDARD,ACTIVE,2026-02-08 18:47:59.787
1760,120,AL01385411751033700096229,11925.55,CHF,SAVINGS,ACTIVE,2026-02-08 18:47:59.813
1774,5562,AL03641557233943719936243,70486.74,USD,SAVINGS,ACTIVE,2026-02-08 18:47:59.863
1779,1506,AL06924396662648659968248,20419.22,USD,STANDARD,ACTIVE,2026-02-08 18:47:59.883
1809,3476,AL08532866742206690304278,44628.33,CHF,STANDARD,ACTIVE,2026-02-08 18:48:00.013
1822,2357,AL07021334679321300992291,22998.45,EUR,STANDARD,ACTIVE,2026-02-08 18:48:00.073
1845,814,AL04281999427190550528314,96695.10,GBP,STANDARD,ACTIVE,2026-02-08 18:48:00.163
1861,2489,AL07719519339429430272330,77575.36,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:00.240
1862,6008,AL02168561670431780096331,33415.76,CHF,BUSINESS,ACTIVE,2026-02-08 18:48:00.243
1869,5759,AL06438878400663409664338,65872.56,USD,SAVINGS,FROZEN,2026-02-08 18:48:00.270
1874,8374,AL00382152070462889984343,75340.70,CHF,SAVINGS,ACTIVE,2026-02-08 18:48:00.293
1875,699,AL05474259760427900928344,66395.24,EUR,STANDARD,ACTIVE,2026-02-08 18:48:00.297
1916,9653,AL08755117939999730688385,83073.32,CHF,STANDARD,ACTIVE,2026-02-08 18:48:00.477
1941,1569,AL01218374479242960128410,40190.60,CHF,STANDARD,ACTIVE,2026-02-08 18:48:00.587
1960,3196,AL05031681942994719744429,62750.96,GBP,SAVINGS,FROZEN,2026-02-08 18:48:00.690
1996,8892,AL06572707409373689856465,90953.81,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:00.870
2020,1094,AL01098343713343630080489,63102.69,USD,BUSINESS,ACTIVE,2026-02-08 18:48:00.963
2028,8538,AL05025825460523010048497,68355.89,GBP,BUSINESS,FROZEN,2026-02-08 18:48:00.997
2029,7093,AL05841911184574920704498,43190.52,USD,BUSINESS,ACTIVE,2026-02-08 18:48:01.000
2034,5312,AL06457914401776759808503,66432.02,USD,SAVINGS,ACTIVE,2026-02-08 18:48:01.020
2041,4660,AL05933905182093200384510,7922.54,USD,STANDARD,FROZEN,2026-02-08 18:48:01.050
2058,2051,AL04787330692734330880527,76653.54,USD,BUSINESS,ACTIVE,2026-02-08 18:48:01.127
2070,9870,AL01117323788534850048539,86961.14,USD,SAVINGS,ACTIVE,2026-02-08 18:48:01.177
2074,8123,AL04347209471489299968543,34733.54,EUR,STANDARD,FROZEN,2026-02-08 18:48:01.197
2086,8021,AL02065720465459040000555,39331.34,CHF,STANDARD,ACTIVE,2026-02-08 18:48:01.250
2091,1167,AL06752903896973390848560,3836.89,EUR,STANDARD,FROZEN,2026-02-08 18:48:01.273
2094,4221,AL04740283907140470784563,2842.97,CHF,STANDARD,ACTIVE,2026-02-08 18:48:01.287
2098,3664,AL02967284141892200448567,66134.13,USD,STANDARD,ACTIVE,2026-02-08 18:48:01.307
2122,4645,AL01735386858497240064591,39745.38,EUR,STANDARD,ACTIVE,2026-02-08 18:48:01.420
2131,9692,AL08808691853469560832600,6129.24,EUR,STANDARD,ACTIVE,2026-02-08 18:48:01.457
2140,5724,AL07285145030552220672609,41117.78,EUR,SAVINGS,ACTIVE,2026-02-08 18:48:01.500
2145,4978,AL06769673431407380480614,78879.47,GBP,STANDARD,ACTIVE,2026-02-08 18:48:01.520
2157,2808,AL02786926256085920256626,85414.49,USD,BUSINESS,ACTIVE,2026-02-08 18:48:01.577
2171,9787,AL01020749173940729984640,4487.78,USD,STANDARD,FROZEN,2026-02-08 18:48:01.640
2183,7193,AL03412787103913589760652,44877.98,USD,BUSINESS,ACTIVE,2026-02-08 18:48:01.693
2208,8422,AL05226498425901479936677,6259.02,USD,SAVINGS,ACTIVE,2026-02-08 18:48:01.817
2210,864,AL05313927219732950016679,95556.15,GBP,BUSINESS,ACTIVE,2026-02-08 18:48:01.827
2219,5156,AL04444363089343840256688,81467.55,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:01.873
2231,4514,AL08757441915849640960700,95891.25,CHF,SAVINGS,ACTIVE,2026-02-08 18:48:01.920
2233,2503,AL00120116913239830000702,1904.43,CHF,BUSINESS,ACTIVE,2026-02-08 18:48:01.927
2235,4121,AL05650196378455199744704,50666.80,EUR,BUSINESS,ACTIVE,2026-02-08 18:48:01.933
2236,3493,AL08939393108359999488705,82043.47,GBP,BUSINESS,ACTIVE,2026-02-08 18:48:01.940
2252,4402,AL04774241326120370176721,59140.00,CHF,STANDARD,ACTIVE,2026-02-08 18:48:01.997
2266,1757,AL08108550717409480704735,5852.65,USD,SAVINGS,ACTIVE,2026-02-08 18:48:02.060
2288,9511,AL04577950140442640384757,4439.71,USD,BUSINESS,ACTIVE,2026-02-08 18:48:02.147
2293,1896,AL06104295820603629568762,69139.88,GBP,BUSINESS,ACTIVE,2026-02-08 18:48:02.170
2300,5161,AL00025087409405240004769,19153.16,GBP,STANDARD,ACTIVE,2026-02-08 18:48:02.200
2327,4969,AL05503150831029929984796,7072.50,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:02.323
2335,7978,AL07597380152295959552804,29469.85,CHF,SAVINGS,ACTIVE,2026-02-08 18:48:02.363
2372,3233,AL04304173426672340480841,80860.50,GBP,BUSINESS,FROZEN,2026-02-08 18:48:02.533
2378,5482,AL07597340664217720832847,22220.25,EUR,SAVINGS,ACTIVE,2026-02-08 18:48:02.560
2408,736,AL05769007204880790528877,89360.82,USD,SAVINGS,ACTIVE,2026-02-08 18:48:02.693
2417,1835,AL01333267790283910144886,88983.29,GBP,STANDARD,ACTIVE,2026-02-08 18:48:02.733
2440,500,AL01432857515229400064909,93012.17,CHF,BUSINESS,FROZEN,2026-02-08 18:48:02.843
2453,2726,AL01155310714442040064922,63455.27,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:02.900
2463,7548,AL07319134580161820672932,52969.49,CHF,BUSINESS,ACTIVE,2026-02-08 18:48:02.943
2484,3321,AL04240427421500789760953,67268.72,EUR,STANDARD,ACTIVE,2026-02-08 18:48:03.030
2519,8121,AL03052521719910390272988,96022.78,EUR,BUSINESS,ACTIVE,2026-02-08 18:48:03.170
2525,6744,AL04009778813786460160994,26890.57,USD,STANDARD,ACTIVE,2026-02-08 18:48:03.197
2530,555,AL05220819174120550400999,62224.52,GBP,BUSINESS,ACTIVE,2026-02-08 18:48:03.220
2569,655,AL086869406553312501761038,39773.12,USD,BUSINESS,ACTIVE,2026-02-08 18:48:03.393
2576,6498,AL079606565488310906881045,25112.43,USD,SAVINGS,ACTIVE,2026-02-08 18:48:03.427
2584,7573,AL020832917755193702401053,24632.61,CHF,STANDARD,ACTIVE,2026-02-08 18:48:03.463
2592,4218,AL076840349704807004161061,13323.82,CHF,SAVINGS,ACTIVE,2026-02-08 18:48:03.503
2603,7820,AL043186105567868902401072,77697.27,CHF,SAVINGS,ACTIVE,2026-02-08 18:48:03.560
2607,1080,AL061386129163716505601076,77096.43,USD,SAVINGS,ACTIVE,2026-02-08 18:48:03.580
2610,8033,AL070734063694373304321079,86144.61,GBP,STANDARD,FROZEN,2026-02-08 18:48:03.597
2614,6814,AL064360967263217295361083,38321.55,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:03.613
2619,4830,AL089313474124185999361088,67757.10,CHF,STANDARD,ACTIVE,2026-02-08 18:48:03.640
2625,8136,AL033113213692887900161094,12317.26,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:03.670
2631,8392,AL081944747267500011521100,35023.93,USD,STANDARD,FROZEN,2026-02-08 18:48:03.700
2638,4655,AL015462765891606799361107,43501.27,EUR,SAVINGS,ACTIVE,2026-02-08 18:48:03.737
2640,4122,AL017737255915165800961109,43858.05,USD,SAVINGS,ACTIVE,2026-02-08 18:48:03.750
2641,8970,AL000586205643747100001110,94007.32,USD,BUSINESS,ACTIVE,2026-02-08 18:48:03.753
2670,2572,AL067333796499869900801139,7873.37,CHF,STANDARD,ACTIVE,2026-02-08 18:48:03.900
2693,44,AL075222118479644508161162,12412.17,CHF,BUSINESS,ACTIVE,2026-02-08 18:48:04.010
2700,4453,AL014834680998844200961169,86555.71,USD,BUSINESS,ACTIVE,2026-02-08 18:48:04.040
2719,2599,AL047767667470486599681188,35864.26,USD,STANDARD,ACTIVE,2026-02-08 18:48:04.110
2726,460,AL009322301273075700481195,7017.84,EUR,SAVINGS,ACTIVE,2026-02-08 18:48:04.140
2741,4418,AL076963763919146004481210,25644.65,USD,SAVINGS,ACTIVE,2026-02-08 18:48:04.207
2743,4954,AL032723153901926804481212,68729.88,EUR,SAVINGS,ACTIVE,2026-02-08 18:48:04.217
2753,2068,AL077523489267407308801222,91011.87,EUR,STANDARD,ACTIVE,2026-02-08 18:48:04.253
2761,7778,AL085385148412466503681230,36121.31,EUR,BUSINESS,ACTIVE,2026-02-08 18:48:04.287
2770,7112,AL082995606520193904641239,58798.67,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:04.323
2777,1501,AL053935192598483302401246,98811.28,GBP,STANDARD,ACTIVE,2026-02-08 18:48:04.360
2796,9981,AL082241776312624496641265,65473.24,GBP,STANDARD,ACTIVE,2026-02-08 18:48:04.460
2815,7784,AL058818142601654804481284,86444.77,USD,SAVINGS,ACTIVE,2026-02-08 18:48:04.557
2830,4779,AL001754868357776300161299,19617.10,GBP,SAVINGS,ACTIVE,2026-02-08 18:48:04.623
2834,3405,AL072577465906812108801303,80885.58,GBP,SAVINGS,FROZEN,2026-02-08 18:48:04.643
2844,1973,AL001887400686030600321313,4589.29,GBP,STANDARD,ACTIVE,2026-02-08 18:48:04.690
2847,1926,AL062463828668081100801316,73036.23,USD,BUSINESS,ACTIVE,2026-02-08 18:48:04.703
2860,823,AL067572937326146211841329,13556.12,GBP,STANDARD,ACTIVE,2026-02-08 18:48:04.763
2907,7490,AL064415648938353704961376,81502.55,EUR,SAVINGS,ACTIVE,2026-02-08 18:48:05.087
2930,7815,AL022271308257989703681399,49661.76,EUR,BUSINESS,FROZEN,2026-02-08 18:48:05.210
2951,3233,AL083597822530757611521420,65305.11,USD,SAVINGS,ACTIVE,2026-02-08 18:48:05.320
2974,2103,AL064852789880712611841443,93863.86,EUR,STANDARD,ACTIVE,2026-02-08 18:48:05.443
2975,6028,AL078650632688605911041444,53750.23,CHF,STANDARD,ACTIVE,2026-02-08 18:48:05.450
2984,3788,AL003557385973736400001453,36494.57,USD,BUSINESS,ACTIVE,2026-02-08 18:48:05.497
2996,4539,AL084736349973757296641465,48960.04,EUR,BUSINESS,ACTIVE,2026-02-08 18:48:05.560
